"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"117",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2001,117,75.3,65.6,64.4,87.8,3
"118",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,118,84.5,67.8,75.2,93.2,4
"119",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,119,74.2,57.5,61,88,1
"120",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2001,120,76.5,54.4,62.6,87.8,4
"121",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2001,121,80.8,58.4,69.8,93.2,1
"122",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2001,122,80.5,62.8,71.1,90,3
"123",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2001,123,70.4,53.3,66.2,75.2,1
"124",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,124,65.1,52,59,73.9,3
"125",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2001,125,61.5,54.2,55.4,68,3
"126",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,126,63.4,52.2,53.1,73,7
"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2001,127,69.4,53.4,55.9,82,2
"128",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2001,128,75.5,56.4,64.9,86,1
"129",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2001,129,78.7,55.9,66.9,88,4
"130",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2001,130,78.7,57.8,68,88,2
"131",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2001,131,79.2,61.7,69.8,87.8,1
"132",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2001,132,79.4,62.5,69.8,87.8,3
"133",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2001,133,81.1,64.1,71.6,89.6,4
"134",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,134,71.7,57.1,60.1,87.1,1
