"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","max","min","fog","NUM_REPORTS"
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.0145506052021633,0.62156862745098,0.540569020021075,0.589618021547503,0.654112983151635,0,0.711964549483013
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.0146793716198815,0.677450980392157,0.596417281348788,0.735553379040157,0.643211100099108,0,0.755539143279173
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.0148081380375998,0.694117647058824,0.567966280295047,0.700293829578844,0.709613478691774,0,0.863367799113737
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.0149369044553181,0.626470588235294,0.523709167544784,0.612144955925563,0.638255698711596,0,0.714180206794682
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.0150656708730363,0.693137254901961,0.520547945205479,0.735553379040157,0.684836471754212,0,0.709010339734121
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.0151944372907546,0.786274509803922,0.556375131717597,0.834476003917728,0.743310208126858,0,0.810930576070901
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2001,0.0153232037084728,0.830392156862745,0.72813487881981,0.812928501469148,0.821605550049554,0,0.894387001477105
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2001,0.0154519701261911,0.824509803921569,0.730242360379347,0.79333986287953,0.812685827552032,0,0.832348596750369
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2001,0.0155807365439093,0.841176470588235,0.71654373024236,0.834476003917728,0.832507433102081,0,0.816838995568685
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2001,0.0157095029616276,0.681372549019608,0.697576396206533,0.80411361410382,0.704658077304262,0,0.884785819793205
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2001,0.0158382693793459,0.652941176470588,0.689146469968388,0.636630754162586,0.684836471754212,0,0.747415066469719
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2001,0.0159670357970641,0.726470588235294,0.624868282402529,0.746327130264447,0.732408325074331,0,0.655096011816839
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2001,0.0160958022147824,0.733333333333333,0.795574288724974,0.665034280117532,0.798810703666997,0,0.780649926144756
