"","day","temp","dewp","max","min","NUM_REPORTS"
"6110",1,23.8,6.7,33.8,17.6,2
"6210",3,37.3,18.9,50,28.4,2
"6310",5,42.8,31.3,51.1,37,1
"6410",7,40.3,26.4,48.9,30.9,4
"6510",1,45,25.8,62.1,34,1
"6610",2,42.4,31.7,51.8,37.4,3
"6710",3,44.6,31.3,53.6,39.2,1
"6810",4,50.1,31.4,63,39.9,1
"6910",5,57.5,54,64.9,46,2
"7010",6,63.5,50,82.9,45,1
"7110",7,64.7,41.5,78.8,48.2,1
"7210",2,49.3,44.3,53.6,46.4,1
"7310",3,61.9,56,77,51.1,3
"7410",4,58,45.2,69.8,48.2,2
"7510",5,49.7,37.2,57.2,42.8,4
"7610",6,53.5,36.1,66,45,2
"7710",7,50.6,36,55.4,44.6,2
"7810",1,39.7,27.2,52,32,2
"7910",2,35.8,24.4,45,30,3
"8010",3,42,23.8,55.4,30.2,3
"8110",4,52.5,28.4,69.1,41,3
"8210",5,64.7,49.7,78.8,53.6,4
"8310",6,70.4,61.1,78.8,62.6,2
"8410",7,64.9,55.2,80.6,53.6,4
"8510",1,68.1,54.9,79,50,3
"8610",2,50.6,30.4,62.1,44.1,1
"8710",3,54.1,34.3,62.1,48,3
"8810",5,61.5,36.9,73.4,53.6,2
"8910",7,61.4,32.4,77,51.1,1
"9010",2,75.4,52.1,84.9,64.9,4
"9110",3,74.8,52.3,82.9,64,2
"9210",4,76.5,51,87.1,66,2
"9310",5,60.2,49.2,84,53.1,1
"9410",7,64.8,42.3,78.1,55.9,4
"9510",1,65.5,58.5,69.8,62.6,5
"9610",3,68.7,45.8,82.4,57.2,3
"9710",4,72.7,49.2,86,61,3
"9810",5,61.2,55,73.4,48.2,2
"9910",6,50,33,57.2,42.8,4
"10010",1,58.1,39.8,68,51.1,2
"10110",4,73.2,61.3,87.1,66,2
"10210",5,70.6,52.8,81,62.1,3
"10310",1,68.2,59.5,75,62.1,1
"10410",7,53.2,48.8,59,50,1
"10510",2,58.6,49.2,64.9,51.1,1
"10610",4,54.9,41.4,62.1,51.1,2
"10710",5,55.4,50.5,64.9,50,2
"10810",6,56.5,48.9,64,53.1,5
"10910",7,52.9,46.2,57.9,50,1
"11010",1,52.2,45,55.9,50,2
"11110",2,53.4,51,59,48,3
"11210",3,57.8,56.3,66.9,53.1,2
"11310",4,60.6,55.1,68,55.9,2
"11410",5,63.8,52.2,73.9,51.1,1
"11510",6,69.6,53.4,80.6,57.2,2
"11610",1,79.5,66.5,88,70,2
"11710",2,75.3,65.6,87.8,64.4,3
"11810",4,84.5,67.8,93.2,75.2,4
"11910",6,74.2,57.5,88,61,1
"12010",7,76.5,54.4,87.8,62.6,4
"12110",1,80.8,58.4,93.2,69.8,1
"12210",2,80.5,62.8,90,71.1,3
"12310",3,70.4,53.3,75.2,66.2,1
"12410",4,65.1,52,73.9,59,3
"12510",5,61.5,54.2,68,55.4,3
"12610",6,63.4,52.2,73,53.1,7
"12710",7,69.4,53.4,82,55.9,2
"12810",1,75.5,56.4,86,64.9,1
"12910",2,78.7,55.9,88,66.9,4
"13010",3,78.7,57.8,88,68,2
"13110",4,79.2,61.7,87.8,69.8,1
"13210",5,79.4,62.5,87.8,69.8,3
"13310",6,81.1,64.1,89.6,71.6,4
"13410",7,71.7,57.1,87.1,60.1,1
"13510",1,62.5,41.3,73.9,55.9,3
"13610",3,77.8,62.1,89.6,69.8,2
"13710",4,70,49.7,84,63,2
"13810",5,66.6,46.6,78.8,55.4,1
"13910",6,75.9,63.3,88,64.9,1
"14010",7,81.1,67.3,87.8,73.4,3
"14110",1,80,66.8,91,71.1,4
"14210",2,81.9,63.7,89.6,71.6,6
"14310",3,72.4,51.2,86,66,1
"14410",5,71.8,51.2,79,64,4
"14510",6,74.9,48.9,87.1,62.1,1
"14610",7,78.7,52,89.1,66,1
"14710",1,78.6,58.7,86,69.8,1
"14810",2,80.1,65.2,87.1,75,5
"14910",3,78.9,70.8,88,73,2
"15010",4,80.9,71.5,90,73,5
"15110",5,83.2,71.4,93.9,75,1
"15210",6,84.3,72.4,91.4,78.8,2
"15310",7,81.3,71.6,95,73.4,2
"15410",1,79.9,71.5,93.2,73.4,8
"15510",2,81,71.6,90,73,4
"15610",3,74.7,68.1,86,68,3
"15710",5,71.7,57,77,64.4,4
"15810",6,73.9,61.3,80.6,66.2,3
"15910",7,79.3,69.2,91.4,73.4,5
"16010",1,79.2,70.2,89.6,71.6,1
"16110",2,83.9,70.6,95,75.2,2
"16210",4,80.2,72.3,89.1,73,3
"16310",6,77.1,64.3,84.9,68,5
"16410",7,80.2,67.1,90,70,1
"16510",1,81.6,66.4,91.4,71.6,1
"16610",2,84.2,71.1,95,75,1
"16710",3,86.3,71.8,93.9,78.1,2
"16810",4,85.8,72.1,95,77,1
"16910",5,75.7,62.4,90,72,1
"17010",6,73,56.8,78.8,64.4,1
"17110",7,73.8,56.4,84.2,62.6,3
"17210",2,69.1,49.4,77,59,1
"17310",3,70,53.4,78.1,63,1
"17410",4,70,63.7,73.4,66.2,3
"17510",5,69.5,56.8,79,60.1,1
"17610",6,68.4,60.8,73.4,64.4,6
"17710",7,66.9,61.1,73.4,62.6,4
"17810",1,68.7,56.6,79,59,1
"17910",3,75.9,66.8,88,71.1,4
"18010",4,73.5,68.6,78.1,71.1,1
"18110",6,74.7,71.2,81,71.1,2
"18210",7,75.2,67.3,82.4,69.8,2
"18310",1,76.1,63.5,84.9,66.9,4
"18410",2,74.1,60.3,80.6,66.2,1
"18510",3,72.3,57,82.9,61,3
"18610",4,77.4,63.5,87.1,71.1,2
"18710",5,72.3,64.2,84,68,3
"18810",6,64.2,49.5,68,60.1,5
"18910",1,74.7,60.3,86,64,1
"19010",3,68.9,57.8,78.1,61,2
"19110",4,74.4,60.6,87.8,64.4,2
"19210",5,77.9,69.1,89.6,69.8,4
"19310",6,77.2,66.3,87.1,73,5
"19410",7,69.9,63.5,75.2,60.8,2
"19510",1,64.2,52.5,79,55,5
"19610",2,67.6,52.8,80.1,55,3
"19710",3,72.7,55.2,84,61,1
"19810",5,60.1,44,64.4,55.4,6
"19910",6,61.2,44.3,66.9,55,2
"20010",7,62.2,47.8,71.6,53.6,2
"20110",1,64.2,51.3,69.8,57.2,1
"20210",2,64.1,54.2,69.8,57.2,3
"20310",4,63.8,53.3,73.9,55,1
"20410",5,65.5,58.8,69.8,62.6,1
"20510",6,64.3,54.7,75,54,1
"20610",7,64.1,56.1,72,57,4
"20710",1,52.1,42.9,55.4,48.2,3
"20810",2,50,34.3,57.2,42.8,4
"20910",3,56.7,36.8,69.8,48.2,2
"21010",4,56.1,44.7,63,46.9,2
"21110",5,55.3,47.1,55.4,53.6,3
"21210",6,57.7,48.4,64.9,50,3
"21310",7,58.3,50.4,71.6,46.4,3
"21410",1,63,50.9,78.8,51.8,2
"21510",2,67.3,55.8,82.4,55.4,1
"21610",3,71.6,48,80.6,64.4,7
"21710",4,58.3,50.5,69.8,51.8,3
"21810",5,49.5,44.1,53.6,48.2,1
"21910",6,44.5,31.2,51.8,35.6,2
"22010",7,42.5,26.3,53.1,32,4
"22110",1,53.8,34.9,66.2,42.8,1
"22210",2,63.1,45.3,73.9,55,2
"22310",3,63.6,53.8,68,61,2
"22410",4,59,48.9,66,53.1,2
"22510",5,56.7,53.4,60.8,53.6,1
"22610",6,60.7,58.2,69.8,57.2,3
"22710",7,55.3,48.6,60.8,50,1
"22810",1,49.5,37.7,55,44.1,6
"22910",2,47.1,38.7,53.6,44.6,1
"23010",3,43.6,28.5,52,35.1,2
"23110",4,51.5,32.2,64.4,42.8,2
"23210",5,55.3,37.8,61,48,1
"23310",6,55.9,37.6,69.8,46.4,4
"23410",7,59.5,46.7,66,55,3
"23510",1,58.6,51.3,63,54,3
"23610",2,63.9,58.4,66.2,59,1
"23710",3,60.5,57.6,66,50,2
"23810",4,40.7,29.3,50,36,1
"23910",5,39.1,26.3,42.8,37.4,1
"24010",6,40.4,23.8,46.9,37,1
"24110",7,41.7,27.1,54,33.1,3
"24210",1,49.3,36.3,62.1,44.1,2
"24310",2,50.3,45.3,53.1,48,2
"24410",3,57.6,40.6,69.1,50,4
"24510",4,61.2,47.7,66.2,57.2,1
"24610",5,62.7,46.2,66.9,55,1
"24710",6,54,34.2,66.9,41,1
"24810",7,53.1,41.1,62.6,44.6,1
"24910",1,46.3,34.4,55.4,35.6,2
"25010",2,49.7,32.5,63,39,1
"25110",3,56.4,42.7,71.6,46.4,3
"25210",4,54.4,46.9,64.9,42.1,1
"25310",5,42,33.7,53.1,33.1,2
"25410",6,48.8,36.2,62.6,39.2,3
"25510",7,45.7,37.3,51.1,41,4
"25610",1,44.4,36.6,57,35.1,3
"25710",2,52.2,35.5,64.4,46.4,2
"25810",3,55.8,50.1,63,51.1,5
"25910",4,60.4,55.5,68,53.6,3
"26010",5,56.5,53.6,64,48,1
"26110",6,51.8,49.4,64.9,42.1,6
"26210",7,55.1,53,64.4,50,3
"26310",2,37.4,25.1,43,30,3
"26410",5,52.1,38.6,60.8,48.2,3
"26510",6,59.8,55.3,64.9,57,2
"26610",7,48.1,44.8,60.8,44.6,4
"26710",1,45.3,41.9,51.8,39.2,3
"26810",3,38.5,35.5,42.8,35.6,1
"26910",4,43.8,43.7,46.4,41,1
"27010",5,46.4,46.4,50,43,4
"27110",6,40.7,38.5,44.6,37.4,3
"27210",7,40.5,37.2,54,33.1,5
"27310",1,48.9,44.8,55.4,42.8,1
"27410",2,57.2,52.8,64,53.1,1
"27510",3,62.5,56.4,68,59,3
"27610",5,42.3,39.5,46.9,35.1,1
"27710",6,44.4,41.2,48.2,41,1
"27810",7,34.1,26.4,43,26.1,2
"27910",1,37,27.1,48.2,30.2,1
"28010",2,38.1,31.7,48,28.9,1
"28110",4,45.4,42.3,48.2,35.6,3
"28210",6,36.6,34.5,41,33.1,3
"28310",7,43,39.7,46.9,39.9,1
"28410",1,45.8,42.7,46.9,41,2
"28510",2,38.2,31.2,48.2,30.2,2
"28610",4,33.7,17.8,42.1,28,5
"28710",6,40.5,30.1,46.9,35.1,2
"28810",7,32.1,24.8,48.9,24.1,1
"28910",1,21,14.3,26.6,19.4,2
"29010",3,14.2,8.2,17.6,10.4,1
"29110",5,25.4,16.1,28.4,21.2,4
"29210",7,12.7,4,19.4,6.8,3
"29310",1,15.3,5.5,21.2,8.6,1
"592",4,28.9,22.5,30.9,28,1
"593",5,29.5,20.9,35.1,24.1,5
"594",6,26.6,19.4,33.8,21.2,1
"595",7,30.4,28.4,33.1,28,2
"596",1,31.1,23.1,33.8,28.4,3
"597",2,30.7,23.8,39.2,24.8,1
"598",4,39.9,25.8,50,35.6,2
"599",5,26.1,12.4,35.6,19.4,5
"600",6,15,1.2,19.4,8.6,2
"601",2,17.1,7.5,24.1,12,1
"602",3,11.7,-0.1,21.9,5,2
"603",5,17.2,3,24.8,10.4,1
"604",6,13,5,21.2,6.8,2
"605",3,10.9,-6.7,15.1,6.1,1
"606",5,8.5,-6.3,17.1,3,1
"607",6,21,6.8,35.1,14,3
"608",7,15.3,3.9,32,6.8,1
"609",2,24,13.5,33.8,15.8,1
"610",3,27,21.7,30.2,24.8,2
"611",4,25.2,18.1,28.4,21.2,1
"612",5,33,28.7,36,27,1
"613",7,34.8,32.5,37.4,33.8,1
"614",1,38,35.7,45,35.1,1
"615",2,26.9,19.6,43,17.1,1
"616",4,28.4,15.1,34,23,5
"617",5,15.7,4.4,24.8,8.6,2
"618",7,16.8,-0.3,30.2,6.8,1
"619",2,15.4,2.4,32,6.8,1
"620",5,27.6,18,35.1,19,1
"621",7,20.3,10.1,24.8,17.6,1
"622",1,24.7,18.5,30.2,21.2,3
"623",2,29,24.4,35.6,24.8,2
"624",3,33.4,22.2,39.9,26.1,2
"625",4,36.4,21.9,50,28,1
"626",5,37.2,25.2,48.2,28.4,1
"627",6,34.2,29.3,41,28.4,1
"628",7,21.1,10.2,28,14,1
"629",3,19.5,6.6,28.9,12.9,4
"630",4,23.9,10.1,30.9,16,1
"631",5,28.2,14.1,39.9,18,1
"632",6,32.7,20.7,37.4,28.4,3
"633",7,27.4,21.3,34,17.1,2
"634",1,18,8.4,26.6,12.2,1
"635",2,31.2,25.2,35.6,26.6,1
"636",3,24.8,19.2,28.4,21.2,1
"637",4,22.8,15.4,28.9,19,1
"638",5,29.1,21.9,36,23,3
"639",1,11.4,-3.3,21.2,5,2
"640",3,39.1,30.6,44.6,33.8,4
"641",5,36.6,22.7,55,27,3
"642",6,43.4,34.3,51.8,33.8,6
"643",1,58.4,48.7,72,48,1
"644",2,44.6,39.8,59,39.2,1
"645",3,42.2,36.2,48.2,39.2,4
"646",4,52,47.6,62.6,44.6,2
"647",6,42.6,34,46.4,39.2,2
"648",7,50.4,36.4,63,43,7
"649",1,59.6,37.8,75.9,46.9,2
"650",2,53.8,37.4,72,44.1,1
"651",4,51.3,32.8,66,42.1,1
"652",5,56.3,44.3,62.6,39.2,1
"653",6,36,24.4,39.9,33.1,3
"654",2,59.2,39.6,81,46.9,3
"655",3,54.7,41.2,73,46,2
"656",4,43.7,38.7,51.8,39.2,1
"657",5,40.4,38.8,48,37,1
"658",6,32.5,25.2,39.2,26.6,1
"659",7,32.5,20.7,37.4,30.2,2
"660",2,32.8,28.3,33.8,32,1
"661",3,36,26.4,42.8,30.2,1
"662",4,43,22.6,55.9,28.9,1
"663",5,50.8,24.1,69.8,35.6,1
"664",6,46.7,27.1,53.1,41,3
"665",2,74.1,43.5,86,62.1,1
"666",3,58.7,37.4,81,46.9,3
"667",4,45.1,35.3,50,42.1,5
"668",5,42.2,36,48.2,39.2,1
"669",6,56.9,45.8,78.8,39.2,6
"670",7,64.9,52.6,70,57,2
"671",1,50.3,41,53.6,46.4,2
"672",3,44.7,22.2,54,36,1
"673",4,48.6,28.4,60.8,39.2,7
"674",5,51.8,31.9,59,46.9,2
"675",6,47.8,27.2,55.4,39.2,6
"676",7,57.2,27.1,75.2,42.8,1
"677",1,64.9,41.1,73.4,55.4,1
"678",2,57.6,36.5,68,48,1
"679",3,53.1,47,68,46.4,1
"680",4,51.2,48.9,55.4,46.4,1
"681",5,47.4,37.7,53.1,41,1
"682",7,50.6,31.9,60.1,41,2
"683",2,59.9,47.5,68,50,1
"684",3,54.7,46.3,64.9,50,3
"685",4,52,46.5,60.8,48.2,3
"686",6,67.4,56.4,81,59,2
"687",7,56.8,48.8,73,50,2
"688",1,56.7,39.4,66.9,50,1
"689",2,60,35.8,73,48,3
"690",3,56.6,38.7,63,52,1
"691",4,51.2,45.4,55.4,48.2,1
"692",5,55,44.4,64,50,4
"693",6,56.8,49.4,69.1,51.1,2
"694",7,57.8,50.6,71.1,51.1,4
"695",1,65.2,58.7,73.9,59,1
"696",2,63.1,52.8,71.6,53.6,8
"697",3,51.6,36.1,57.2,46.4,1
"698",4,52.2,34.5,61,44.1,3
"699",5,54.4,35.6,64,48,1
"700",6,57,37.3,70,46,3
"701",7,58,43.9,66,50,3
"702",1,59.8,41.5,70,48,1
"703",2,62,45.8,73,51.1,1
"704",4,58.3,49.9,66.2,51.8,1
"705",5,60.4,46.8,71.6,51.8,1
"706",6,54.2,48,71.1,48,4
"707",7,50.5,32.8,62.1,39,1
"708",1,56.3,38.6,68,44.6,2
"709",3,59,41.2,66.2,53.6,3
"710",4,62.4,42.6,78.1,48.9,2
"711",5,64.2,48,72,55.9,3
"712",6,66.1,54,77,59,1
"713",1,65.2,54.4,77,55,1
"714",2,68.1,56.4,77,60.1,1
"715",4,60.7,54,69.8,53.6,1
"716",5,63,57.7,69.8,59,1
"717",6,66.1,54.6,77,55.9,2
"718",7,66.3,54.6,75.2,57.2,3
"719",1,67.6,52.1,78.8,59,2
"720",2,68.5,44.5,79,55.9,3
"721",3,72.7,55.7,89.1,61,2
"722",4,63.3,46.9,68,59,1
"723",5,61.6,39.5,73,51.1,1
"724",6,65.5,45.4,79,52,2
"725",7,71.4,50.1,84.2,60.8,1
"726",1,76.8,52.7,89.1,64.9,2
"727",2,82,59.2,93.2,71.6,3
"728",3,83.4,62.4,93,73,4
"729",4,73.4,59.7,89.1,64,2
"730",5,70.2,49.3,82.9,57.9,2
"731",6,72.9,59.1,82.4,66.2,4
"732",7,72.7,59.3,80.6,64.4,2
"733",2,76.8,52.8,84.9,66,7
"734",5,84,67.5,93.9,77,2
"735",6,80.6,67.9,91.9,69.1,10
"736",2,74.2,64.8,88,69.1,1
"737",4,72,64.1,80.6,66.2,3
"738",5,67.9,56.4,75.2,60.8,2
"739",6,70,54.7,78.8,60.8,2
"740",7,73.4,52.1,82.9,62.1,2
"741",1,75.5,55.8,84.2,64.4,2
"742",2,77.1,64.2,87.1,68,5
"743",3,73.9,55.6,82.9,62.1,2
"744",4,75.9,61.6,87.1,66.9,2
"745",7,75.8,62.2,87.1,66.9,5
"746",1,73.9,65.2,82.9,68,2
"747",2,67.6,58.7,73.4,64.4,3
"748",3,67.6,56,75,62.1,1
"749",4,69,47.2,79,57,3
"750",5,72.9,53.1,82.4,62.6,2
"751",6,76.6,61.8,84,69.1,2
"752",7,76.2,64.1,82,68,1
"753",1,68.5,58.9,73.9,64,1
"754",2,69.4,51.5,81,57,3
"755",3,73,56.1,82.4,62.6,5
"756",7,71.1,62.7,82,66,2
"757",1,68.8,62.6,77,64,1
"758",2,70.8,61.6,80.1,63,1
"759",3,74.3,62.1,82.9,69.1,1
"760",4,73.9,64.4,81,68,1
"761",5,71.8,64.4,75.2,69.8,3
"762",6,70,61.8,75.9,64,4
"763",2,71,64,75.9,68,1
"764",3,73.5,65.2,80.6,68,1
"765",4,77,69.6,84.9,71.1,4
"766",6,82.9,68.4,91.9,75,1
"767",7,77.7,63.2,84,73,2
"768",1,76.6,59,84,68,1
"769",2,74.9,59.1,82.9,64.9,1
"770",3,77.9,63.4,90,66.9,3
"771",4,84.4,68.7,97,75,2
"772",7,75.4,56.6,87.1,64.9,3
"773",2,83.2,65.8,91.4,73.4,2
"774",3,80.2,65.5,86,73.4,6
"775",4,78.1,61.5,93.9,68,3
"776",5,77.7,65.1,87.8,71.6,1
"777",6,69.9,52.5,77,64.9,1
"778",7,67.3,53.6,70,62.1,3
"779",1,63.1,60.1,66,62.1,2
"780",2,67,60.4,71.6,62.6,1
"781",4,66.7,50.7,79,59,3
"782",5,63.7,50.7,73.9,54,1
"783",6,66.7,49.1,79,54,2
"784",7,73.1,55.7,84,61,1
"785",1,74.8,58.9,82,66,3
"786",2,74.1,62.4,80.6,68,1
"787",3,72.6,62.4,82,64.9,1
"788",4,75.6,61.6,84.2,68,2
"789",5,71.7,57,82,64,3
"790",6,75.3,62.3,84.2,69.8,1
"791",7,71,61.3,81,66,4
"792",2,68.1,48,82.9,57,2
"793",4,71.2,52.4,80.6,60.8,1
"794",5,63.7,48.6,71.6,55.4,1
"795",6,58.1,41.8,70,46,3
"796",7,64.4,46,77,53.6,2
"797",2,58.9,43.4,69.8,48.2,3
"798",3,63.3,51.3,70,57,1
"799",4,54.6,36.1,64.4,46.4,4
"800",5,55.6,45.1,64.9,48.9,1
"801",6,54.8,44.8,63,48,1
"802",7,51.4,40.3,59,48,2
"803",1,49.2,36.4,57.9,42.1,2
"804",2,49.5,32.3,55.4,42.8,3
"805",3,46.7,28.8,53.6,35.6,3
"806",4,42.3,22.5,53.1,32,2
"807",5,45.9,31.5,52,39.9,1
"808",6,50.5,37.3,59,41,3
"809",7,51.4,39.3,57.2,44.6,4
"810",1,52.4,34.7,62.1,43,1
"811",2,60.7,44.3,80.6,48.2,3
"812",3,67.8,50.8,80.1,54,2
"813",4,66,52,73.4,57.2,1
"814",5,65.1,54.9,75.9,54,3
"815",7,61.6,45.1,73.4,48.2,5
"816",1,60.2,37.7,73,48,1
"817",2,55.8,46.2,68,51.1,2
"818",3,52.4,35.3,62.6,42.8,2
"819",5,46.6,29,57.9,36,5
"820",6,53.9,35.3,69.8,44.6,2
"821",1,64.5,47.5,84.2,53.6,2
"822",2,62.7,42.9,73.4,55.4,1
"823",4,48.6,38.1,53.6,44.6,1
"824",5,51.7,37.5,61,43,2
"825",7,43.8,33.7,51.8,35.6,1
"826",1,39,30.4,42.8,35.6,1
"827",2,45.9,36.9,55,39.9,1
"828",3,43.7,32.1,48.9,39.9,2
"829",4,53.6,41.7,71.6,42.8,2
"830",6,49.1,40.9,53.1,48,4
"831",7,52.5,49.5,57.9,48.9,2
"832",1,51.8,49.4,53.6,48.2,2
"833",2,61.7,56.6,68,50,2
"834",3,45.7,39.5,68,39,2
"835",4,40,25.8,46.4,35.6,1
"836",1,39.4,22.8,51.8,30.2,5
"837",2,52.9,48.1,57.2,48.2,1
"838",3,53.4,45.1,62.1,42.1,1
"839",4,35.9,19.2,42.8,30.2,4
"840",5,36.5,19.5,50,27,2
"841",6,41.1,34.5,44.6,39.2,3
"842",7,44.4,42,48.9,42.1,2
"843",1,47.8,43.6,55.4,39.2,1
"844",2,58,55.2,62.6,51.8,2
"845",3,49.2,38.5,57.2,39.2,4
"846",5,49.3,38.1,60.8,42.8,5
"847",6,49.8,44.7,57.9,44.1,2
"848",7,59.5,52.8,66,44.1,2
"849",3,39,27.7,48,33.1,3
"850",6,29.9,21.5,35.6,24.8,1
"851",1,39.3,18.3,53.6,32,1
"852",2,31.4,10.2,37,25,1
"853",3,34.9,21,39.2,30.2,4
"854",4,35.7,25.3,39.2,33.8,2
"855",5,37.5,32.7,42.8,33.8,1
"856",6,35.5,29.2,39.9,30,1
"857",7,35.4,26.9,39.2,28.4,2
"858",2,43.4,40.2,46.4,41,1
"859",3,48.5,45.3,55.4,37.4,2
"860",4,26.4,18.4,35.6,19.4,1
"861",5,17.5,6,26.1,12,3
"862",6,23.3,13.8,30.2,19.4,3
"863",1,29.6,25.2,37.9,24.1,5
"864",2,36,29.1,42.8,28.4,1
"865",7,34,20.4,46.4,24.8,1
"866",1,41.5,33.1,45,39,1
"867",2,35.8,30.7,41,32,1
"868",5,32.3,21.6,43,21.9,1
"869",6,39.2,24.4,48.9,33.1,1
"870",7,46.3,33.9,48.9,42.1,1
"871",1,43,33.9,48.9,37,2
"872",2,32.1,21.7,41,26.1,6
"873",3,40.2,23.5,42.8,35.6,1
"874",5,49.1,46.2,60.8,41,1
"875",7,33,25.4,34,28.9,1
"876",1,26.2,21.1,30.9,17.1,2
"877",4,26,16,30.2,21.2,1
"878",6,21.2,14.2,26.6,19.4,2
"879",7,30.8,21.3,39.2,26.6,2
"880",2,31.6,21.5,35.1,28,1
"881",3,30.2,22.4,36,27,1
"882",4,21,7.4,28.9,15.1,1
"883",5,25.8,15.7,28.4,24.8,1
"884",6,29.3,24.6,33.8,26.6,2
"885",7,21.4,10.6,34,14,1
"886",1,10.3,-0.6,19,5,1
"887",3,23.4,13.8,37.9,14,2
"888",5,12.7,1.3,24.8,6.8,2
"889",1,20.5,15.1,23,19,2
"890",2,21.8,16.8,25,17.1,2
"891",3,9.1,1.7,19,3,2
"892",5,-0.7,-11.1,3.9,-6,2
"893",7,17.4,4.7,30.9,10,2
"894",1,27.5,16.8,32,24.1,2
"895",2,29.4,25.4,34,19,1
"896",4,25.7,16.6,28.9,24.1,3
"897",7,21.9,15.6,27,14,4
"898",1,28,20.3,33.8,21.2,2
"899",2,25.9,16.9,30.9,19,1
"900",3,23.1,14.7,36,14,1
"901",6,27.8,17.8,35.6,23,1
"902",7,22.8,13.2,28.4,19.4,1
"903",1,20.6,7.7,27,15.1,1
"904",5,41.7,36.2,45,35.1,1
"905",6,35,27.3,39.9,32,3
"906",7,35.4,27.5,45,25,3
"907",1,42,32.6,46.4,39.2,1
"908",2,36.6,30.7,43,32,1
"909",3,33.1,22.9,37.4,26.6,1
"910",4,34.7,25,41,28.9,2
"911",5,35.8,25.9,45,28.9,1
"912",6,40.8,26.7,55.4,32,1
"913",7,48.8,30.7,60.1,41,4
"914",1,52.6,41.8,63,46,2
"915",4,43.5,38.6,44.6,39.2,1
"916",5,50.3,44.8,61,42.1,2
"917",6,40.4,30.7,44.6,37.4,2
"918",7,41.2,30.3,45,37,2
"919",4,35.4,22.4,46.4,21.2,2
"920",5,22.5,6.6,34,17.1,1
"921",6,33.6,13.8,46.4,21.2,2
"922",7,40.8,27.8,45,35.1,2
"923",1,34.7,21.7,42.1,28.9,1
"924",3,32.2,27.7,37.4,30.2,4
"925",4,34.4,30.5,42.8,30.2,3
"926",6,52.6,32.6,63,46,2
"927",7,32.4,17.4,45,28,2
"928",1,29.1,10.3,39.9,21,1
"929",2,42.9,19.5,60.8,32,4
"930",3,50.2,40,63,44.1,4
"931",5,62.6,57,68,59,1
"932",7,63.2,53.1,73.4,53.6,2
"933",1,51.8,41.4,60.8,42.8,2
"934",2,50.4,36.1,57.9,39,1
"935",6,46,24.9,59,33.1,1
"936",7,40,23.5,46.4,33.8,1
"937",1,38.9,22.9,48.9,32,2
"938",2,53.5,32.9,73,42.1,3
"939",4,49.9,35.8,57.2,46.4,2
"940",6,46.8,29.5,55,39.9,3
"941",3,43.9,26.6,69.1,30.9,1
"942",5,69,43.1,82.9,57,2
"943",6,66.9,51,82,53.1,2
"944",7,68.6,50,87.1,53.1,2
"945",1,70.5,45.5,80.6,57.2,1
"946",4,49.2,38.2,55.4,44.6,1
"947",5,50.2,35,62.6,42.8,2
"948",6,49.3,37,57.2,42.8,2
"949",1,51.5,35.2,60.8,44.6,1
"950",3,61.1,32.9,78.8,50,1
"951",4,69.9,47.1,78.8,60.8,2
"952",5,55,49.3,71.1,46,1
"953",6,45.2,40.4,48.2,44.1,1
"954",2,53.6,38.8,66.9,44.1,1
"955",4,68.5,50.9,84.2,55.4,1
"956",5,55,40.2,73.9,48,1
"957",6,61.3,44.7,86,48,2
"958",7,68.4,55.6,88,53.1,1
"959",1,72.5,58.8,84.2,64.4,1
"960",2,66.7,58,82.9,55,3
"961",3,75.3,61.6,84.9,69.1,1
"962",4,70.4,64.4,78.8,66.2,1
"963",5,61.8,59.1,70,51.1,1
"964",7,54,40.3,69.8,42.8,1
"965",1,68.5,56.5,80.6,51.1,1
"966",2,62.1,53,80.1,50,3
"967",3,58.4,47.3,71.6,48.2,2
"968",4,73.8,66.4,84.2,64.4,1
"969",6,68.7,61.3,81,60.1,3
"970",7,68.2,60.3,78.8,55.4,1
"971",2,58,51,69.8,50,1
"972",3,59.1,47.5,66.2,51.8,2
"973",4,63.8,52.2,78.8,53.6,1
"974",6,56.4,43.5,69.1,51.1,1
"975",7,66.7,58.5,75.9,60.1,1
"976",1,64.6,58.8,73,57,2
"977",3,61.7,50.9,69.1,55.9,1
"978",4,59.7,40.3,68,51.8,3
"979",6,64.5,46.7,75.9,53.1,2
"980",7,72.5,54.7,84,64,1
"981",1,77.1,60.2,89.1,64.9,1
"982",2,82,66.1,91.9,73,1
"983",3,81,66,90,75,1
"984",4,68,63,75.9,60.1,1
"985",5,71.4,66.7,80.6,60.8,1
"986",6,70.6,63.8,80.1,62.1,2
"987",7,74.2,64,82.4,68,2
"988",1,75,63.1,84.2,66.2,2
"989",2,73.7,59,82,64.9,1
"990",3,72.4,61.9,82.9,64,1
"991",4,75.3,66.8,82.4,69.8,4
"992",5,69.8,59.9,82,63,1
"993",6,62.5,43.1,71.6,55.4,1
"994",1,65.6,53.8,72,61,5
"995",2,65.7,53.1,73,60.1,1
"996",3,69.3,50.3,82.4,57.2,5
"997",6,65.8,45.7,75.9,55,2
"998",7,68.9,48.9,78.1,59,2
"999",1,67.7,54,73.9,60.1,2
"1000",2,69.7,50.5,80.6,57.2,2
"1001",3,73.7,54.7,82.9,62.6,1
"1002",4,76.2,55.2,84.9,64,4
"1003",5,79.7,56.5,82.9,69.1,3
"1004",6,75.1,64.6,84.2,69.8,2
"1005",1,71.1,61.7,82,64,3
