"","temp","dewp","max","min","NUM_REPORTS"
"5632",72.6,53.2,80.1,62.1,800
"5633",72.7,52.1,84,63,822
"5634",72.1,57,81,66.9,827
"5635",70.5,57.4,81,63,777
"5636",73,53.1,84,62.1,792
"5637",64,48,77,57.9,754
"5638",61.5,48,70,54,744
"5639",63.9,50.8,73,57.9,727
"5640",77.2,62.2,93.9,64.9,765
"5641",85.2,62.4,93,75,816
"5642",72.8,49.3,91,64.9,852
"5643",71.1,48.3,88,60.1,794
"5644",77.2,58.5,88,69.1,835
"5645",80.6,67.6,91.9,69.1,790
"5646",75.2,62,90,66.9,821
"5647",72.5,54.2,86,63,830
"5648",76.3,50.8,88,64,763
"5649",80.4,56.4,91,70,811
"5650",84.6,66.8,91.9,79,857
"5651",77.1,51.2,91,66,825
"5652",73.3,59.2,82.9,68,749
"5653",72.3,65.8,80.1,69.1,801
"5654",73.3,57.9,82,66.9,807
"5655",79.5,61.5,91,71.1,813
"5656",82.8,67.8,90,75,775
"5657",81.9,59.9,91,73,771
"5658",69.3,52.9,78.1,64,767
"5659",67.9,48.9,78.1,57,804
"5660",72.3,48.1,79,64,847
"5662",67.9,45.9,77,59,756
"5663",70.4,52,78.1,62.1,782
"5664",71.9,59.8,81,66,848
"5665",77.2,64.5,88,69.1,895
"5666",79.1,66.8,89.1,68,742
"5667",78.4,68.5,84,72,790
"5668",78.6,66.6,88,69.8,790
"5669",74.5,58,84,66.9,729
"5670",74.2,56.6,84,64,760
"5671",81.3,64.9,91.9,73,701
"5672",82.9,69,90,75.9,780
"5673",79.1,68.3,87.1,73,726
"5674",76.5,64.8,88,69.1,769
"5675",72.6,58.3,84,66.9,846
"5676",69.3,55.7,77,62.1,780
"5677",73.9,59.3,86,66.9,789
"5678",78.8,67.5,87.1,70,799
"5679",79.6,63.8,88,70,791
"5680",80.7,66.8,89.1,73.9,825
"5681",82.5,72.8,90,75.9,785
"5682",81.1,70.9,91,73.9,792
"5683",86,74.3,91.9,79,814
"5684",80.4,72.5,93,71.6,790
"5685",79.6,65.3,87.1,73.9,827
"5686",80.9,62.9,87.1,73,877
"5687",81.5,63.3,90,71.1,795
"5688",78.8,66.9,84,72,774
"5689",75.3,69.1,82,70,802
"5690",74.2,65.5,79,71.1,927
"5691",74.4,64.2,82,66.9,813
"5692",76.5,65.5,82.9,70,882
"5693",79.2,65.4,88,73,793
"5694",81.8,65.7,90,73.9,772
"5695",83.5,65.3,91.9,75,793
"5696",80.1,67.7,89.1,75,862
"5697",76.6,61,82.9,66.9,828
"5698",75.6,58.4,84,66,838
"5699",78.6,61.5,84.9,73.9,804
"5700",79.9,60.7,90,71.1,725
"5701",83.1,65.2,91,73.9,722
"5702",84.6,69.6,93.9,77,852
"5703",81.5,73.6,88,75,746
"5704",78.4,71.9,84.9,75,827
"5705",78.4,64.4,84.9,69.1,843
"5706",75.5,67.2,82.9,72,843
"5707",76.4,68.5,84,71.6,816
"5708",79.1,65.9,88,71.1,862
"5709",79.1,69,86,72,767
"5710",76.6,65.6,84.9,71.1,793
"5711",75.8,68.1,82.4,71.1,844
"5712",68.5,54.9,77,61,786
"5713",69.6,52,79,59,728
"5714",73.6,58,82,64.9,753
"5715",76.9,66.4,84.9,71.6,823
"5716",77.9,69.1,84.9,73,770
"5717",74.2,62.3,81,68,803
"5718",75.9,67.5,86,70,819
"5719",78.5,69.8,82.9,73.9,805
"5720",78.4,68.9,90,73,884
"5721",78.9,70.7,84.9,73.9,755
"5722",74.6,62.7,80.1,71.1,780
"5724",69.8,55.5,75,64,799
"5725",70.2,55.4,77,61,830
"5726",72.2,57.1,81,63,779
"5727",77.6,63,90,66.9,822
"5728",83.8,71.8,93,75.9,761
"5729",85.1,71.6,93,78.1,723
"5730",77.3,70.3,88,72,795
"5731",75.2,66.7,81,69.1,818
"5732",70.3,60.5,73,66.2,767
"5733",66.8,50.9,75.9,55.9,758
"5734",70.7,51.7,81,61,793
"5735",74.4,58.4,87.1,64.9,786
"5736",71.6,58.7,78.1,66.9,820
"5737",70.8,57.5,78.1,64,823
"5738",74.1,60.3,84,66,807
"5739",74.8,62.9,82.9,68,834
"5740",72,54.6,82,63,781
"5741",74.9,55,89.1,63,712
"5742",77.3,55.2,84.9,71.1,792
"5743",73.1,62.1,78.1,68,731
"5744",75,62.4,84.9,68,831
"5745",74,65.5,84,71.1,845
"5746",70.8,62.7,75.9,66.9,833
"5747",74,62,86,64.9,809
"5748",67.8,46.2,82,60.1,764
"5749",62.4,34.6,72,53.1,735
"5750",57.3,45.9,66,52,634
"5751",62.7,56,66.9,55.4,702
"5752",63.3,58.2,66,61,772
"5753",62.1,57.4,64.9,59,862
"5754",61.9,56.7,66.9,57.9,707
"5755",63.7,55.8,66.9,61,772
"5756",66.7,56.1,75,61,743
"5757",72.2,57.4,82,64.9,805
"5758",67.8,60.6,75,61,754
"5759",67,56.7,73,57.9,863
"5760",54.1,37.6,66,44.1,715
"5761",56.7,44.8,63,50,682
"5762",59.8,44.9,73,50,724
"5763",66.5,48.3,75.9,60.1,697
"5764",63.8,53.4,72,52,746
"5765",49.6,37,57.9,41,693
"5766",53.9,40.3,68,43,821
"5767",61.4,53,71.1,54,823
"5768",69.4,62.5,72,64.9,790
"5769",73.6,63.9,84.9,68,817
"5770",74.3,59.7,82,64.9,774
"5771",62.3,48,72,53.1,712
"5772",57,47.1,64,53.1,717
"5773",49.5,33.8,55,44.1,760
"5774",48,32.2,61,37.9,773
"5775",58,44.3,73,46.9,785
"5776",54.3,40.9,66.9,46.9,770
"5777",48.5,36.3,53.1,42.1,736
"5778",48.3,41.4,51.1,46,698
"5779",49,42.1,52,46,730
"5780",51.6,43.8,64.9,43,802
"5781",67.1,57.8,73,63,831
"5782",56.2,48.5,63,50,786
"5783",50.4,40.8,59,44.1,867
"5784",67.1,55.2,77,57.9,910
"5785",64.6,56.8,73,60.1,749
"5786",57.8,50.9,66,52,783
"5787",54.9,42.9,63,46,783
"5788",56.1,44,69.1,46.9,821
"5789",58.3,46,70,48,753
"5790",57.6,42.5,66.9,48,738
"5791",57.1,45.3,64,54,644
"5792",51.5,35.6,57.9,43,680
"5793",51.3,33.3,64,44.1,723
"5794",51.4,36.1,57.9,46.9,797
"5795",45.3,31.1,52,36,780
"5796",45.7,29.8,57,37,660
"5797",49,34.9,61,41,670
"5798",48.2,42,57,39,712
"5799",49.6,42.1,61,41,770
"5800",58.2,45.4,73.9,48.9,811
"5801",62.8,48.2,68,48.9,794
"5802",38.9,23.5,48.9,35.1,677
"5803",30.6,15.4,36,25,663
"5804",32,17.5,43,24.1,683
"5805",35.5,24.7,39.9,30,722
"5806",40.7,34.4,44.6,37.4,699
"5807",41.3,35.5,46,37,534
"5808",39,31.7,42.1,36,689
"5809",40,31.8,48,33.1,719
"5810",39.4,34.4,44.1,35.1,693
"5811",46.3,40.2,52,42.1,693
"5812",51.5,43.5,57.9,45,698
"5813",42.1,34,55,36,697
"5814",38.9,30.4,42.1,37,822
"5815",38.6,30.1,41,36,835
"5816",34.5,22.1,37.9,32,758
"5817",33,26,35.1,30.9,595
"5818",33.4,29.7,34,30,678
"5819",34.2,29.7,39.9,28.9,688
"5820",28.1,17.7,33.1,26.1,660
"5821",22.3,11.8,26.6,18,606
"5822",23.8,13.8,26.1,21,668
"5823",22,12.2,25,19.9,612
"5824",27.6,22.4,34,23,512
"5825",27,21.1,35.1,16,629
"5826",18.4,8.3,25,12,574
"5827",11.7,-0.6,21,3.9,610
"5828",5.8,-7.2,12.9,1,580
"5829",14.4,2.6,21,7,695
"5830",23.1,17.2,26.6,19.4,614
"5831",13.4,4.3,21.9,1.9,526
"5832",2.2,-8.8,14,-6,660
"5833",21,7.3,30,14,693
"5834",28.1,18.3,37,21.9,728
"5835",35.6,25.2,39,30,702
"5836",32.2,25.4,37.9,27,728
"5837",35.8,31.2,37,35.1,604
"5838",34.2,30,36,33.1,488
"5839",47.4,40.7,55,35.1,647
"5840",29.9,18.2,42.1,26.1,663
"5841",32.7,22.7,44.1,24.1,722
"5842",35,24.6,41,30.9,647
