"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.6,29.3,57.9,41,106
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.2,23.6,46.9,37,104
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.5,22.5,55.9,34,99
"111",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.5,24,60.1,34,117
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.9,39.3,60.1,35.1,130
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.1,30.3,57,39,130
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49.1,31.6,57,39,122
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.1,34.3,60.1,37.9,124
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.3,35.4,64,37.9,112
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,34.8,64,42.1,89
"118",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,52.2,38,64.9,39.9,135
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,64.9,38.4,79,39.9,134
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,70.1,42.9,82,53.1,159
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,67.8,55,82,60.1,130
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56.1,48.3,73.9,52,103
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60.1,53.5,82,51.1,122
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71.2,52.9,87.1,51.1,128
"125",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,73.9,61.8,87.1,57,145
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,60.4,56.3,68,51.8,139
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50.3,46.9,66.9,46.9,164
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,59.9,54.5,71.1,46.9,137
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,54.2,39.5,71.1,50,123
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49.6,35.3,57.9,45,99
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55.3,40.4,69.1,45,103
"132",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,67.6,58.2,79,46,136
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,72.9,63.9,82,60.1,176
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,74.9,66.4,84,66.9,160
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,74.6,59.6,84,66.9,121
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51.4,37.4,63,48,111
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,46.2,30.9,54,43,110
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54.7,37.9,70,43,103
"139",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,60.5,37.5,70,46.9,111
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,65.7,37.6,82.9,50,131
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,68.8,51.7,82.9,53.1,142
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,74.3,63.4,81,62.1,158
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,73.3,64.3,81,68,144
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,70.9,60.2,77,66.9,122
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,72,55.7,84,60.1,116
"146",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,75.7,62.5,84,60.1,111
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,66,60.4,84,48.9,132
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,48.7,42.8,55.9,44.1,130
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,53.5,42.4,62.1,44.1,152
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,58,42.8,71.1,45,131
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,65.3,50.1,79,45,97
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71,58,82,55,92
"153",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,66.8,57.6,82,59,116
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.4,51.4,73,54,125
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,68.2,59.9,82.9,54,137
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,74.9,64.3,86,60.1,113
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72,57.5,87.1,61,105
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,81.7,64.6,93.9,61,130
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,72.1,60.1,77,66,111
"160",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,65.9,63.2,79,59,112
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.7,62.8,87.1,57.2,156
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75.9,69.9,88,57.9,170
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,76.4,71.8,84.9,70,103
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70.4,60.2,82.9,66,132
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,63.5,52.5,72,57.9,111
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,74.5,67.1,82,57.9,111
"167",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,63.1,53.5,82,57,109
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,67.4,57.1,82,57,156
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,76.8,66.6,87.1,57,194
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78.3,71.4,87.1,70,149
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,77.2,61.9,84.9,70,116
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,72.3,57.4,81,66,110
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,73.4,65.2,82.9,66,130
