"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,68.2,59.9,82.9,54,226
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,74.9,64.3,86,60.1,181
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72,57.5,87.1,61,182
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,81.7,64.6,93.9,61,208
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,72.1,60.1,77,66,191
"154",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,65.9,63.2,79,59,226
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,69.7,62.8,87.1,57.2,242
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75.9,69.9,88,57.9,238
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,76.4,71.8,84.9,70,183
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70.4,60.2,82.9,66,237
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,63.5,52.5,72,57.9,198
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,74.5,67.1,82,57.9,196
"161",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,63.1,53.5,82,57,189
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,67.4,57.1,82,57,239
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78.3,71.4,87.1,70,220
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,77.2,61.9,84.9,70,202
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,72.3,57.4,81,66,185
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,73.4,65.2,82.9,66,195
"167",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,66.3,61.6,82.9,63,204
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,66.5,54,77,59,199
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,70,51.7,81,57.9,269
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70.6,63,81,57.9,195
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70.7,62.3,80.1,64.9,196
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,62.6,53.7,80.1,59,178
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,62.8,54,70,55.4,179
"174",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,54,77,55.9,192
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,72.2,56.2,84,61,252
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,78.4,65.7,88,64.9,205
